City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fort st. john,56.2499,-120.8529,8.939999999999998,71,100,3.6,CA,1683563363
1,port-aux-francais,-49.35,70.2167,4.760000000000048,82,100,12.83,TF,1683563364
2,blackmans bay,-43.0167,147.3167,9.850000000000023,74,100,5.43,AU,1683563364
3,port elizabeth,-33.918,25.5701,19.620000000000005,91,0,3.6,ZA,1683563365
4,puerto natales,-51.7236,-72.4875,5.25,75,75,2.06,CL,1683563094
5,east london,-33.0153,27.9116,19.52000000000004,82,0,5.14,ZA,1683563365
6,pullman,46.7313,-117.1796,13.170000000000016,74,0,5.66,US,1683563366
7,ushuaia,-54.8,-68.3,10.810000000000002,43,20,3.6,AR,1683563366
8,yellowknife,62.456,-114.3525,10.29000000000002,62,75,2.06,CA,1683563282
9,gizo,-8.103,156.8419,28.060000000000002,79,59,2.16,SB,1683563367
10,chatellerault,46.8,0.5333,18.400000000000034,80,100,3.76,FR,1683563367
11,iqaluit,63.7506,-68.5145,-6.149999999999977,73,20,6.17,CA,1683563368
12,lethem,3.3803,-59.7968,29.379999999999995,66,100,3.57,GY,1683563368
13,paita,-5.0892,-81.1144,26.900000000000034,70,9,5.22,PE,1683563369
14,broome,42.2506,-75.833,19.140000000000043,52,0,5.66,US,1683563369
15,toliara,-23.35,43.6667,24.620000000000005,76,62,3.45,MG,1683563370
16,gadzhiyevo,69.2551,33.3362,1.7200000000000273,85,98,5.34,RU,1683563370
17,adamstown,-25.066,-130.1015,21.470000000000027,58,98,9.15,PN,1683563371
18,aswan,24.0934,32.907,30.640000000000043,15,43,6.59,EG,1683563371
19,cabo san lucas,22.8909,-109.9124,31.450000000000045,39,0,2.06,MX,1683563314
20,conde,-7.2597,-34.9075,29.700000000000045,66,40,6.69,BR,1683563116
21,san antonio de pale,-1.4014,5.6325,28.650000000000034,75,77,4.09,GQ,1683563372
22,puerto ayora,-0.7393,-90.3518,30.980000000000018,92,61,2.24,EC,1683563372
23,waitangi,-43.9535,-176.5597,14.900000000000034,95,100,2.24,NZ,1683563373
24,tiksi,71.6872,128.8694,-16.25999999999999,98,73,3.06,RU,1683563374
25,keflavik,64.0049,-22.5624,11.950000000000045,93,100,5.66,IS,1683563374
26,alcaniz,41.05,-0.1333,26.79000000000002,19,100,8.35,ES,1683563375
27,rio grande,-32.035,-52.0986,22.060000000000002,61,0,6.59,BR,1683563375
28,dudinka,69.4058,86.1778,-0.20999999999997954,88,97,7.39,RU,1683563376
29,vadso,70.0744,29.7487,4.490000000000009,65,75,4.63,NO,1683563376
30,grytviken,-54.2811,-36.5092,1.8500000000000227,83,17,4.47,GS,1683563377
31,ponta delgada,37.7333,-25.6667,18.400000000000034,88,75,3.6,PT,1683563275
32,enewetak,11.3474,162.3373,27.24000000000001,80,98,5.69,MH,1683563377
33,hawaiian paradise park,19.5933,-154.9731,20.730000000000018,93,75,1.54,US,1683563378
34,ilulissat,69.2167,-51.1,0.010000000000047748,86,75,2.57,GL,1683563378
35,isafjordur,66.0755,-23.124,9.020000000000039,76,20,6.17,IS,1683563379
36,sinabang,2.4803,96.3801,25.400000000000034,86,100,1.57,ID,1683563379
37,margaret river,-33.95,115.0667,17.720000000000027,49,95,5.89,AU,1683563380
38,carnarvon,-24.8667,113.6333,23.189999999999998,74,68,3.72,AU,1683563380
39,petropavlovsk-kamchatsky,53.0452,158.6483,2.330000000000041,70,75,1.0,RU,1683563381
40,zavetnoye,47.1194,43.8903,6.75,90,100,6.87,RU,1683563381
41,udachny,66.4167,112.4,-3.079999999999984,45,100,8.22,RU,1683563381
42,sunne,59.8376,13.143,17.230000000000018,33,34,3.61,SE,1683563382
43,fale old settlement,-9.3852,-171.2468,28.650000000000034,76,8,5.79,TK,1683563382
44,machico,32.7,-16.7667,26.510000000000048,55,20,8.75,PT,1683563383
45,bel ombre,-4.6167,55.4167,27.910000000000025,78,40,5.66,SC,1683563383
46,atafu village,-8.5421,-172.5159,28.220000000000027,79,21,5.44,TK,1683563384
47,west island,-12.1568,96.8225,26.99000000000001,94,40,2.57,CC,1683563384
48,tazacorte,28.629,-17.9293,23.54000000000002,60,20,8.75,ES,1683563385
49,aasiaat,68.7098,-52.8699,-1.4899999999999523,86,100,5.53,GL,1683563385
50,new norfolk,-42.7826,147.0587,10.510000000000048,71,100,1.79,AU,1683563386
51,fisterra,42.9049,-9.2629,18.900000000000034,94,88,4.72,ES,1683563386
52,bada,51.392,109.8717,6.390000000000043,53,2,0.2,RU,1683563386
53,pisco,-13.7,-76.2167,22.03000000000003,83,75,3.09,PE,1683563387
54,dali,25.7,100.1833,15.740000000000009,51,0,2.52,CN,1683563387
55,ca mau,9.1769,105.15,28.480000000000018,77,98,1.78,VN,1683563387
56,yakutsk,62.0339,129.7331,-6.019999999999982,67,0,3.13,RU,1683563388
57,kodiak,57.79,-152.4072,2.730000000000018,75,100,5.66,US,1683563128
58,pandharpur,17.6667,75.3333,34.39000000000004,34,86,2.33,IN,1683563388
59,nuuk,64.1835,-51.7216,3.340000000000032,81,40,4.12,GL,1683563388
60,mukalla,14.5425,49.1242,29.910000000000025,52,3,1.64,YE,1683563389
61,margate,51.3813,1.3862,14.610000000000014,87,99,6.11,GB,1683563389
62,lata,40.1629,-8.3327,22.730000000000018,42,95,5.4,PT,1683563389
63,bilibino,68.0546,166.4372,-10.129999999999995,97,97,1.26,RU,1683563390
64,edinburgh of the seven seas,-37.0676,-12.3116,14.879999999999995,62,58,4.63,SH,1683563390
65,vorkuta,67.5,64.0,-10.21999999999997,95,89,2.81,RU,1683563390
66,farasan,16.7022,42.1183,29.29000000000002,74,22,4.22,SA,1683563390
67,olonkinbyen,70.9221,-8.7187,1.75,100,100,3.07,SJ,1683563390
68,san patricio,28.017,-97.5169,30.49000000000001,68,57,6.53,US,1683563391
69,bredasdorp,-34.5322,20.0403,15.970000000000027,82,99,2.42,ZA,1683563391
70,duyun,26.2667,107.5167,13.189999999999998,98,100,0.99,CN,1683563391
71,marathon,44.9,-89.7668,11.04000000000002,91,100,4.12,US,1683563391
72,obo,5.3998,26.4869,23.83000000000004,77,92,3.63,CF,1683563392
73,eirunepe,-6.6603,-69.8736,27.170000000000016,89,88,1.79,BR,1683563392
74,huarmey,-10.0681,-78.1522,24.54000000000002,79,87,4.54,PE,1683563392
75,port douglas,-16.4833,145.4667,23.29000000000002,82,62,5.8,AU,1683563392
76,daru,-9.0763,143.2092,26.33000000000004,90,98,6.39,PG,1683563392
77,axim,4.8699,-2.2405,29.689999999999998,68,93,4.16,GH,1683563393
78,saipan,15.1355,145.701,27.390000000000043,100,20,5.66,MP,1683563393
79,albany,42.6001,-73.9662,20.57000000000005,45,13,1.34,US,1683563393
80,invercargill,-46.4,168.35,12.879999999999995,94,95,3.27,NZ,1683563394
81,port mathurin,-19.6833,63.4167,25.970000000000027,74,0,9.85,MU,1683563394
82,wailua homesteads,22.0669,-159.378,22.439999999999998,74,100,7.2,US,1683563394
83,juan griego,11.0817,-63.9655,29.07000000000005,79,98,10.29,VE,1683563395
84,chebba,35.2372,11.115,19.680000000000007,73,100,12.65,TN,1683563395
85,lebu,-37.6167,-73.65,12.379999999999995,60,92,6.02,CL,1683563395
86,kalmunai,7.4167,81.8167,27.150000000000034,76,100,2.9,LK,1683563396
87,dapaong,10.8639,0.205,36.98000000000002,24,99,2.73,TG,1683563396
88,st. john's,47.5649,-52.7093,11.82000000000005,60,75,9.77,CA,1683563291
89,ribeira grande,38.5167,-28.7,17.220000000000027,94,40,3.58,PT,1683563396
90,punta arenas,-53.15,-70.9167,8.010000000000048,70,0,3.6,CL,1683563389
91,souillac,-20.5167,57.5167,25.210000000000036,78,75,7.2,MU,1683563397
92,yokadouma,3.5167,15.05,29.75,56,100,1.09,CM,1683563397
93,tura,25.5198,90.2201,25.850000000000023,30,0,1.94,IN,1683563397
94,talnakh,69.4865,88.3972,-0.4399999999999977,97,100,4.5,RU,1683563398
95,badger,64.8,-147.5333,4.840000000000032,72,75,0.0,US,1683563398
96,tokar,18.4254,37.729,28.650000000000034,48,2,5.17,SD,1683563398
97,susuman,62.7833,148.1667,-2.829999999999984,89,100,1.93,RU,1683563398
98,kavaratti,10.5669,72.642,29.420000000000016,59,34,4.68,IN,1683563399
99,chonchi,-42.6128,-73.8092,11.180000000000007,76,100,0.15,CL,1683563399
100,sumqayit,40.5897,49.6686,14.04000000000002,71,0,8.63,AZ,1683563399
101,palmer,42.1584,-72.3287,23.02000000000004,36,40,7.2,US,1683563318
102,karratha,-20.7377,116.8463,24.810000000000002,68,57,3.55,AU,1683563399
103,guaruja,-23.9931,-46.2564,28.920000000000016,70,100,3.13,BR,1683563173
104,utrik,11.2278,169.8474,26.980000000000018,82,99,7.54,MH,1683563400
105,catemaco,18.4167,-95.1167,32.56,48,3,2.24,MX,1683563401
106,mejit,10.2753,170.8646,27.460000000000036,81,100,5.77,MH,1683563403
107,stanley,54.868,-1.6985,15.010000000000048,90,75,2.57,GB,1683563284
108,katima mulilo,-17.5,24.2667,22.150000000000034,29,0,0.63,NA,1683563405
109,sampit,-2.5333,112.95,24.160000000000025,95,100,0.52,ID,1683563407
110,arkhangel'sk,64.5401,40.5433,4.3799999999999955,80,100,2.2,RU,1683563408
111,micheweni,-4.9667,39.8333,25.660000000000025,85,79,5.74,TZ,1683563409
112,waingapu,-9.6567,120.2641,26.260000000000048,84,94,6.64,ID,1683563411
113,colonia,50.9333,6.95,21.27000000000004,68,20,4.12,DE,1683563411
114,belmonte,-15.8631,-38.8828,26.689999999999998,79,19,4.26,BR,1683563415
115,kapa'a,22.0752,-159.319,23.180000000000007,74,100,7.2,US,1683563416
116,adiake,5.2863,-3.304,29.33000000000004,68,91,4.0,CI,1683563417
117,la tuque,47.4334,-72.7824,10.140000000000043,27,55,5.66,CA,1683563417
118,bardai,11.65,7.2333,36.860000000000014,12,90,2.62,NG,1683563418
119,kargopol',61.5071,38.9456,6.930000000000007,69,89,3.59,RU,1683563422
120,bethel,41.3712,-73.414,22.720000000000027,45,0,5.14,US,1683563423
121,nicoya,10.1483,-85.452,33.97000000000003,31,100,3.63,CR,1683563424
122,okha,53.5739,142.9478,-1.2999999999999545,94,99,4.21,RU,1683563424
123,itacare,-14.2775,-38.9967,26.52000000000004,84,27,4.98,BR,1683563425
124,menongue,-14.6585,17.691,22.840000000000032,33,52,2.49,AO,1683563426
125,leh,34.1667,77.5833,0.8700000000000045,76,100,2.18,IN,1683563362
126,avarua,-21.2078,-159.775,25.03000000000003,88,40,4.12,CK,1683563427
127,college,64.8569,-147.8028,5.5,69,75,0.89,US,1683563428
128,san andres,12.5847,-81.7006,31.010000000000048,62,75,4.63,CO,1683563257
129,remire-montjoly,4.9167,-52.2667,31.02000000000004,70,75,8.23,GF,1683563429
130,tabriz,38.08,46.2919,19.700000000000045,22,20,3.09,IR,1683563362
131,tazovsky,67.4667,78.7,-9.659999999999968,96,100,3.18,RU,1683563430
132,papatowai,-46.5619,169.4708,14.160000000000025,88,100,3.53,NZ,1683563431
133,ust-nera,64.5667,143.2,-2.009999999999991,88,98,2.7,RU,1683563431
134,antsiranana,-12.2787,49.2917,25.27000000000004,78,0,5.99,MG,1683563432
135,namibe,-15.1961,12.1522,23.970000000000027,75,93,3.6,AO,1683563432
136,xiaoweizhai,26.1903,107.5125,13.400000000000034,98,100,1.07,CN,1683563438
137,acarau,-2.8856,-40.12,29.53000000000003,71,98,3.36,BR,1683563439
138,jamestown,42.097,-79.2353,18.07000000000005,55,0,2.06,US,1683563238
139,alvaraes,-3.2208,-64.8042,24.930000000000007,66,42,1.37,BR,1683563440
140,iskateley,67.6803,53.1512,-0.15999999999996817,97,100,6.07,RU,1683563440
141,greymouth,-42.4667,171.2,15.870000000000005,93,100,6.88,NZ,1683563440
142,amahai,-3.3333,128.9167,26.470000000000027,86,100,0.76,ID,1683563441
143,ebon,4.582,168.6964,28.390000000000043,80,100,4.8,MH,1683563441
144,biloela,-24.4167,150.5,6.080000000000041,43,15,2.98,AU,1683563441
145,port alfred,-33.5906,26.891,19.54000000000002,89,17,1.34,ZA,1683563442
146,arraial do cabo,-22.9661,-42.0278,26.980000000000018,69,20,7.2,BR,1683563442
147,georgetown,5.4112,100.3354,29.970000000000027,70,20,3.6,MY,1683563246
148,san luis de la loma,17.2706,-100.8939,32.51000000000005,47,0,3.48,MX,1683563442
149,hithadhoo,-0.6,73.0833,28.460000000000036,74,45,5.27,MV,1683563443
150,piterka,50.6803,47.4454,9.970000000000027,40,100,6.29,RU,1683563443
151,manokwari,-0.8667,134.0833,26.400000000000034,80,74,1.09,ID,1683563443
152,bagar,28.1874,75.5005,30.210000000000036,9,0,4.32,IN,1683563444
153,mount pearl,47.5166,-52.7813,11.360000000000014,60,75,9.77,CA,1683563444
154,medicine hat,50.0501,-110.6683,15.120000000000005,67,75,2.06,CA,1683563220
155,polyarnyy,69.1989,33.4478,1.650000000000034,85,97,5.03,RU,1683563445
156,hamilton,39.1834,-84.5333,24.930000000000007,69,0,4.63,US,1683563208
157,melekeok village,7.4957,134.6367,25.310000000000002,94,75,1.54,PW,1683563445
158,redding,40.5865,-122.3917,11.57000000000005,85,100,2.06,US,1683563445
159,suva,-18.1416,178.4415,22.710000000000036,94,75,3.09,FJ,1683563445
160,kirakira,-10.4544,161.9205,26.33000000000004,87,66,2.67,SB,1683563446
161,impfondo,1.6381,18.0667,27.33000000000004,65,89,0.59,CG,1683563446
162,constitucion,-35.3333,-72.4167,18.140000000000043,48,25,3.37,CL,1683563446
163,constantia,44.1833,28.65,10.390000000000043,92,100,5.66,RO,1683563447
164,nalut,30.3333,10.85,31.950000000000045,16,51,12.66,LY,1683563447
165,camacupa,-12.0167,17.4833,19.930000000000007,52,6,0.61,AO,1683563448
166,hakui,36.8833,136.7833,9.82000000000005,88,98,1.65,JP,1683563448
167,gaigeturi,33.4644,126.3183,11.03000000000003,76,0,2.06,KR,1683563448
168,smithers,54.7804,-127.1743,6.180000000000007,70,20,0.0,CA,1683563448
169,hirara,24.8,125.2833,22.920000000000016,83,75,9.26,JP,1683563448
170,lugones,43.4027,-5.8122,19.82000000000005,77,97,2.24,ES,1683563449
171,cobram,-35.9167,145.65,9.04000000000002,88,44,4.92,AU,1683563449
172,selfoss,63.9331,-20.9971,12.25,89,100,2.91,IS,1683563449
173,umm kaddadah,13.6017,26.6876,32.30000000000001,11,8,4.91,SD,1683563449
174,hadibu,12.65,54.0333,29.110000000000014,66,82,2.22,YE,1683563450
175,nova sintra,14.8667,-24.7167,20.25,79,0,9.04,CV,1683563450
176,san pedro pochutla,15.7333,-96.4667,34.84000000000003,48,1,3.38,MX,1683563450
177,san sebastian de la gomera,28.0916,-17.1133,25.200000000000045,60,20,4.63,ES,1683563450
178,qaqortoq,60.7167,-46.0333,2.3799999999999955,83,100,2.32,GL,1683563451
179,lihue,21.9789,-159.3672,22.77000000000004,75,100,7.2,US,1683563451
180,nar'yan-mar,67.6713,53.087,-0.0999999999999659,98,100,6.1,RU,1683563451
181,jutai,-5.1833,-68.9,28.150000000000034,85,72,1.5,BR,1683563451
182,tak bai,6.2595,102.0546,26.99000000000001,87,96,1.85,TH,1683563452
183,oyem,1.5995,11.5793,25.340000000000032,70,95,0.39,GA,1683563452
184,zouerate,22.7187,-12.4521,32.97000000000003,13,0,4.15,MR,1683563452
185,usinsk,65.9939,57.5281,-0.25,95,98,7.21,RU,1683563452
186,whitehorse,60.7161,-135.0538,6.430000000000007,51,20,5.66,CA,1683563453
187,shendi,16.6915,33.4341,35.84000000000003,8,0,5.03,SD,1683563453
188,mandalgovi,45.7625,106.2708,11.950000000000045,19,100,3.43,MN,1683563453
189,mount gambier,-37.8333,140.7667,10.580000000000041,83,92,2.25,AU,1683563453
190,labrador city,52.9463,-66.9114,-0.049999999999954525,55,100,5.14,CA,1683563411
191,kulachi,31.9286,70.4592,28.5,22,0,3.62,PK,1683563454
192,guerrero negro,27.9769,-114.0611,17.890000000000043,65,2,9.06,MX,1683563454
193,korla,41.7597,86.1469,13.0,37,37,2.69,CN,1683563454
194,nagqu,31.5,92.0,-0.17999999999994998,78,100,1.56,CN,1683563455
195,cidreira,-30.1811,-50.2056,21.25,69,90,6.63,BR,1683563455
196,padang,-0.9492,100.3543,25.03000000000003,85,99,1.57,ID,1683563455
197,birjand,32.8663,59.2211,23.260000000000048,8,0,2.06,IR,1683563455
198,benguela,-12.5763,13.4055,26.970000000000027,76,6,2.15,AO,1683563455
199,nizhnesortymskiy,62.4397,71.7603,-1.2899999999999636,75,95,8.27,RU,1683563456
200,thompson,55.7435,-97.8558,18.090000000000032,34,20,1.54,CA,1683563456
201,dahab,28.501,34.5134,26.54000000000002,37,2,2.74,EG,1683563456
202,north bend,43.4065,-124.2243,10.129999999999995,98,100,1.54,US,1683563456
203,morondava,-20.2833,44.2833,25.54000000000002,79,0,4.72,MG,1683563457
204,sitka,57.0531,-135.33,6.939999999999998,76,75,0.0,US,1683563459
205,kolokani,13.5728,-8.0339,35.99000000000001,24,100,6.25,ML,1683563459
206,tarauaca,-8.1614,-70.7656,25.05000000000001,96,89,1.55,BR,1683563459
207,burang,30.25,81.1667,-1.5600000000000023,90,100,3.02,CN,1683563460
208,alofi,-19.0595,-169.9187,20.939999999999998,100,40,0.51,NU,1683563460
209,chegdomyn,51.1167,133.0167,6.53000000000003,78,100,0.78,RU,1683563460
210,san-pedro,4.7485,-6.6363,29.28000000000003,69,72,3.51,CI,1683563461
211,amga,60.8953,131.9608,-5.5,83,99,1.58,RU,1683563462
212,sinop,41.7711,34.8709,8.240000000000009,98,96,1.28,TR,1683563462
213,gibsons,49.3997,-123.5027,14.860000000000014,75,84,1.94,CA,1683563386
214,hermanus,-34.4187,19.2345,17.670000000000016,88,100,1.6,ZA,1683563463
215,borogontsy,62.6683,131.1683,-6.060000000000002,61,7,2.89,RU,1683563464
216,tralee,52.2704,-9.7026,16.140000000000043,82,20,6.17,IE,1683563465
217,afaahiti,-17.75,-149.2833,23.930000000000007,76,98,2.15,PF,1683563465
218,fortuna,40.5982,-124.1573,10.550000000000011,93,100,2.68,US,1683563465
219,sinjai,-5.1241,120.253,24.560000000000002,97,100,1.75,ID,1683563466
220,loiza,18.4313,-65.8802,33.129999999999995,62,40,10.29,PR,1683563467
221,flying fish cove,-10.4217,105.6791,26.82000000000005,89,40,3.6,CX,1683563467
222,sesheke,-17.4759,24.2968,22.200000000000045,29,0,0.63,ZM,1683563467
223,faya-largeau,17.9257,19.1043,34.620000000000005,10,32,5.13,TD,1683563468
224,linda,39.1277,-121.5508,14.060000000000002,71,100,7.2,US,1683563381
225,coquimbo,-29.9533,-71.3436,12.850000000000023,94,100,3.6,CL,1683563470
226,kerikeri,-35.2268,173.9474,19.390000000000043,95,100,3.13,NZ,1683563471
227,lagoa vermelha,-28.2086,-51.5258,18.120000000000005,80,100,3.6,BR,1683563472
228,sharkan,57.2989,53.8712,2.670000000000016,67,74,2.49,RU,1683563472
229,bol'sherech'ye,56.0925,74.6272,11.020000000000039,33,100,3.48,RU,1683563472
230,pelabuhanratu,-6.9875,106.5514,25.970000000000027,89,75,0.65,ID,1683563473
231,laojunmiao,39.8333,97.7333,5.800000000000011,49,100,1.27,CN,1683563473
232,denia,38.8408,0.1057,27.02000000000004,65,82,4.02,ES,1683563345
233,queenstown,-31.8976,26.8753,14.82000000000005,67,35,1.44,ZA,1683563474
234,la sarre,48.8002,-79.1996,11.060000000000002,32,3,4.0,CA,1683563474
235,dareda,-4.2167,35.55,16.390000000000043,88,79,0.88,TZ,1683563475
236,nilanga,18.1,76.7667,30.29000000000002,50,60,6.45,IN,1683563475
237,tolanaro,-25.0319,46.9987,25.04000000000002,83,20,8.23,MG,1683563476
238,gloucester point,37.254,-76.4969,28.49000000000001,66,0,4.02,US,1683563476
239,howard springs,-12.497,131.047,24.950000000000045,59,47,4.91,AU,1683563477
240,alpena,45.0617,-83.4327,15.180000000000007,47,0,4.12,US,1683563353
241,kingston,17.997,-76.7936,31.80000000000001,65,20,9.26,JM,1683563478
242,mahalapye,-23.1041,26.8142,19.420000000000016,63,60,3.19,BW,1683563478
243,lagoa,39.05,-27.9833,15.79000000000002,85,100,5.36,PT,1683563479
244,al jawf,29.5,38.75,24.77000000000004,24,0,5.62,SA,1683563480
245,longyearbyen,78.2186,15.6401,-1.089999999999975,80,75,1.03,SJ,1683563480
246,romny,50.751,33.4747,9.370000000000005,55,100,4.63,UA,1683563236
247,akrehamn,59.2667,5.1833,14.439999999999998,51,0,6.17,NO,1683563481
248,al mayadin,35.0209,40.4535,25.970000000000027,23,2,3.06,SY,1683563483
249,cedral,23.8,-100.7333,26.03000000000003,33,92,1.56,MX,1683563483
250,skeldon,5.8833,-57.1333,26.560000000000002,78,99,2.13,GY,1683563484
251,lushun,38.8,121.2667,17.120000000000005,69,18,3.39,CN,1683563485
252,masaya sur,16.497,121.7456,23.28000000000003,94,100,1.41,PH,1683563486
253,zhengjiatun,43.5064,123.5064,11.100000000000023,19,0,3.27,CN,1683563486
254,oxapampa,-10.5775,-75.4017,17.53000000000003,91,99,1.02,PE,1683563487
255,ziway,7.9333,38.7167,22.650000000000034,58,20,5.73,ET,1683563487
256,jimma,7.6667,36.8333,16.939999999999998,94,66,1.02,ET,1683563488
257,gargalianoi,37.0667,21.6333,17.970000000000027,72,100,3.22,GR,1683563488
258,qamdo,31.1667,97.2333,3.6200000000000045,41,23,2.54,CN,1683563489
259,walvis bay,-22.9575,14.5053,16.53000000000003,77,20,3.6,NA,1683563489
260,timaru,-44.4,171.25,12.82000000000005,97,100,2.68,NZ,1683563490
261,yesilhisar,38.3497,35.0867,14.170000000000016,55,90,2.5,TR,1683563491
262,ternate,0.8,127.4,27.79000000000002,81,100,2.32,ID,1683563491
263,bata,1.8639,9.7658,27.910000000000025,77,43,3.22,GQ,1683563493
264,tommot,58.9564,126.2925,-8.509999999999991,99,74,1.27,RU,1683563493
265,pukchil-lodongjagu,40.2019,125.7483,9.740000000000009,66,56,0.39,KP,1683563495
266,geraldton,-28.7667,114.6,21.230000000000018,43,40,6.17,AU,1683563475
267,rongelap,11.1635,166.8941,27.170000000000016,82,97,8.06,MH,1683563496
268,severo-yeniseyskiy,60.3725,93.0408,12.480000000000018,58,70,5.67,RU,1683563496
269,hami,42.8,93.45,14.240000000000009,14,1,2.74,CN,1683563497
270,dalandzadgad,43.5708,104.425,12.800000000000011,51,100,3.88,MN,1683563497
271,rabigh,22.7986,39.0349,27.660000000000025,50,7,6.6,SA,1683563498
272,xilin hot,43.9667,116.0333,10.010000000000048,32,33,2.27,CN,1683563498
273,castillos,-34.1667,-53.8333,21.410000000000025,49,20,5.87,UY,1683563498
274,sao joao da barra,-21.6403,-41.0511,29.05000000000001,78,61,5.39,BR,1683563498
275,barreirinhas,-2.7469,-42.8264,32.80000000000001,50,48,2.44,BR,1683563499
276,puerto baquerizo moreno,-0.9,-89.6,27.55000000000001,89,40,3.09,EC,1683563499
277,newbiggin-by-the-sea,55.1853,-1.5147,16.379999999999995,90,75,2.57,GB,1683563499
278,mikuni,36.2171,136.1519,7.9500000000000455,80,77,3.83,JP,1683563499
279,east ballina,-28.8667,153.5833,8.78000000000003,52,0,4.28,AU,1683563500
280,quellon,-43.1167,-73.6167,9.140000000000043,81,100,0.0,CL,1683563500
281,al fashn,28.8243,30.8995,25.480000000000018,27,0,3.4,EG,1683563500
282,prabumulih,-3.45,104.25,24.04000000000002,98,100,0.49,ID,1683563500
283,bubaque,11.2833,-15.8333,26.610000000000014,77,100,5.29,GW,1683563501
284,port shepstone,-30.7414,30.455,18.30000000000001,87,100,2.62,ZA,1683563501
285,krasnyy yar,46.5331,48.3456,12.960000000000036,77,100,9.3,RU,1683563501
286,chamba,32.5667,76.1333,15.460000000000036,63,61,4.59,IN,1683563501
